repo,id,count,mean,std,title,id_title
lightfm,2.1,30.0,1.0,0.0,Ensure Data File Loads as Expected,2.1. Ensure Data File Loads as Expected
lightfm,3.2,30.0,0.5,0.0,Data in the Expected Format,3.2. Data in the Expected Format
lightfm,3.5,30.0,0.0,0.0,Check for Duplicate Records in Data,3.5. Check for Duplicate Records in Data
lightfm,4.2,30.0,0.8166666666666667,0.24506625892678052,Verify Data Split Proportion,4.2. Verify Data Split Proportion
lightfm,5.3,30.0,0.48333333333333334,0.09128709291752768,Ensure Model Output Shape Aligns with Expectation,5.3. Ensure Model Output Shape Aligns with Expectation
lightfm,6.1,30.0,0.9166666666666666,0.18952451089472586,Verify Evaluation Metrics Implementation,6.1. Verify Evaluation Metrics Implementation
lightfm,6.2,30.0,0.9833333333333333,0.09128709291752768,Evaluate Model's Performance Against Thresholds,6.2. Evaluate Model's Performance Against Thresholds
magenta,2.1,30.0,0.016666666666666666,0.09128709291752768,Ensure Data File Loads as Expected,2.1. Ensure Data File Loads as Expected
magenta,3.2,30.0,0.0,0.0,Data in the Expected Format,3.2. Data in the Expected Format
magenta,3.5,30.0,0.0,0.0,Check for Duplicate Records in Data,3.5. Check for Duplicate Records in Data
magenta,4.2,30.0,0.0,0.0,Verify Data Split Proportion,4.2. Verify Data Split Proportion
magenta,5.3,30.0,0.0,0.0,Ensure Model Output Shape Aligns with Expectation,5.3. Ensure Model Output Shape Aligns with Expectation
magenta,6.1,30.0,0.0,0.0,Verify Evaluation Metrics Implementation,6.1. Verify Evaluation Metrics Implementation
magenta,6.2,30.0,0.0,0.0,Evaluate Model's Performance Against Thresholds,6.2. Evaluate Model's Performance Against Thresholds
mmf,2.1,30.0,1.0,0.0,Ensure Data File Loads as Expected,2.1. Ensure Data File Loads as Expected
mmf,3.2,30.0,0.65,0.23304579984969956,Data in the Expected Format,3.2. Data in the Expected Format
mmf,3.5,30.0,0.26666666666666666,0.2537081317024624,Check for Duplicate Records in Data,3.5. Check for Duplicate Records in Data
mmf,4.2,30.0,0.43333333333333335,0.1728729518208802,Verify Data Split Proportion,4.2. Verify Data Split Proportion
mmf,5.3,30.0,0.8,0.2491364395612199,Ensure Model Output Shape Aligns with Expectation,5.3. Ensure Model Output Shape Aligns with Expectation
mmf,6.1,30.0,0.95,0.15256428831468236,Verify Evaluation Metrics Implementation,6.1. Verify Evaluation Metrics Implementation
mmf,6.2,30.0,0.8666666666666667,0.22488822255440186,Evaluate Model's Performance Against Thresholds,6.2. Evaluate Model's Performance Against Thresholds
nanodet,2.1,30.0,1.0,0.0,Ensure Data File Loads as Expected,2.1. Ensure Data File Loads as Expected
nanodet,3.2,30.0,0.25,0.2542738138578039,Data in the Expected Format,3.2. Data in the Expected Format
nanodet,3.5,30.0,0.0,0.0,Check for Duplicate Records in Data,3.5. Check for Duplicate Records in Data
nanodet,4.2,30.0,0.0,0.0,Verify Data Split Proportion,4.2. Verify Data Split Proportion
nanodet,5.3,30.0,1.0,0.0,Ensure Model Output Shape Aligns with Expectation,5.3. Ensure Model Output Shape Aligns with Expectation
nanodet,6.1,30.0,0.3,0.2491364395612199,Verify Evaluation Metrics Implementation,6.1. Verify Evaluation Metrics Implementation
nanodet,6.2,30.0,0.03333333333333333,0.1268540658512312,Evaluate Model's Performance Against Thresholds,6.2. Evaluate Model's Performance Against Thresholds
qlib,2.1,30.0,1.0,0.0,Ensure Data File Loads as Expected,2.1. Ensure Data File Loads as Expected
qlib,3.2,30.0,0.7666666666666667,0.2537081317024624,Data in the Expected Format,3.2. Data in the Expected Format
qlib,3.5,30.0,0.11666666666666667,0.21509153357603814,Check for Duplicate Records in Data,3.5. Check for Duplicate Records in Data
qlib,4.2,30.0,0.48333333333333334,0.20692049669866688,Verify Data Split Proportion,4.2. Verify Data Split Proportion
qlib,5.3,30.0,0.55,0.20128894996822438,Ensure Model Output Shape Aligns with Expectation,5.3. Ensure Model Output Shape Aligns with Expectation
qlib,6.1,30.0,0.6333333333333333,0.2916461404928373,Verify Evaluation Metrics Implementation,6.1. Verify Evaluation Metrics Implementation
qlib,6.2,30.0,0.6,0.20341905108624309,Evaluate Model's Performance Against Thresholds,6.2. Evaluate Model's Performance Against Thresholds
