html_url,language
https://github.com/BDNYC/astrodbkit,Python
https://github.com/XiangruiCAI/mce,C++
https://github.com/mpearmain/BayesBoost,
https://github.com/Becksteinlab/vesicle_analysis_methods,Jupyter Notebook
https://github.com/impb-ethz/ciderseq,Python
https://github.com/bgrimstad/splinter,C++
https://github.com/amjsmith/hodpy,Python
https://github.com/ZeWang95/DCFNet-Pytorch,Python
https://github.com/tianyolanda/derpn-study,Python
https://github.com/jacqurap/Patia,Java
https://github.com/ozymaxx/multimodal_datacollection_adhocsearch,Python
https://github.com/Soldie/TrojanNN-PYTHON,Python
https://github.com/meliketoy/graph-cnn.pytorch,Python
https://github.com/skanti/Scan2CAD-Annotation-Webapp,JavaScript
https://github.com/vatlab/sos,Python
https://github.com/jizhuoran/SVD_Compression,C++
https://github.com/bbuchfink/diamond,C++
https://github.com/whyjz/CARST,Python
https://github.com/iwyoo/tf_ThinPlateSpline,Python
https://github.com/heljakka/pioneer,Python
https://github.com/angeladai/3DMV,Python
https://github.com/hzm2016/Curiosity-driven-Exploration,Python
https://github.com/tobias-liaudat/DGMCA,Jupyter Notebook
https://github.com/lambtron/botson-extension,JavaScript
https://github.com/zhiqiangdon/pose-adv-aug,Python
https://github.com/repalash/CUDAPathTracerRL,C++
https://github.com/genome/diagnose_dups,C++
https://github.com/davidstutz/mesh-evaluation,C++
https://github.com/quantum-kite/kite,C++
https://github.com/xiao-he/Kernelized-Rank-Learning,
https://github.com/TGAC/brassica,Ruby
https://github.com/josephinius/CTMRG,C++
https://github.com/rickyHong/CaffeDLFramework,C++
https://github.com/InstituteOfErgonomics/DrtRC,Java
https://github.com/kjgarza/frame_experiment_analysis,Jupyter Notebook
https://github.com/DSKSD/SDEN-Pytorch,Python
https://github.com/zergylord/MyCaffe,C++
https://github.com/clvrai/BicycleGAN-Tensorflow,Python
https://github.com/Viaviaking/densenet,Python
https://github.com/fy/compare_dp_mechanisms,Python
https://github.com/Ceruleanacg/Personae,Python
https://github.com/corenel/pytorch-adda,Python
https://github.com/simetenn/medaka,Python
https://github.com/TuSimple/rl-multishot-reid,Python
https://github.com/BartoszPiotrowski/ATPboost,Python
https://github.com/aicentral/darktext,Python
https://github.com/pavesiriccardo/COLDz_calculate_LF,Python
https://github.com/SpaceAppsXploration/rdfendpoints,JavaScript
https://github.com/gorkazl/PathLims,Python
https://github.com/jiesutd/YEDDA,Python
https://github.com/s7jones/bwta2,C
https://github.com/masterblogger/rhinopython_furniture,Python
https://github.com/avlaskin/dev-world-2017-coreml,Python
https://github.com/AbhishekRS4/fcn,Jupyter Notebook
https://github.com/SFI-Mechatronics/wp3_decompressor,C++
https://github.com/musyoku/chainer-glow,Python
